[27/Dec/2021 12:20:15] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:287] Watching dir /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:287] Watching dir /home/david/PycharmProjects/domainAuth/main/templates with glob **/*.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:287] Watching dir /home/david/PycharmProjects/domainAuth/locale with glob **/*.mo.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:287] Watching dir /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:287] Watching dir /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/whitenoise/locale with glob **/*.mo.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:287] Watching dir /home/david/PycharmProjects/domainAuth/main/locale with glob **/*.mo.
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/forms/__init__.py first seen with mtime 1640538220.3106492
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/http/multipartparser.py first seen with mtime 1640538220.322649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/inspect.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/http/server.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/handlers/base.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/migrations/state.py first seen with mtime 1640538220.3026495
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/handlers/__init__.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/views/decorators/csrf.py first seen with mtime 1640538220.3346488
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/backends/utils.py first seen with mtime 1640538220.2946496
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/copyreg.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/sqlparse/cli.py first seen with mtime 1640538219.7586598
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/views/generic/edit.py first seen with mtime 1640538220.3386488
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/lib-dynload/termios.cpython-38-x86_64-linux-gnu.so first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/duration.py first seen with mtime 1640538220.330649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1640548651.1067674
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/wsgiref/__init__.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/postgres/__init__.py first seen with mtime 1640538220.1946516
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/views/__init__.py first seen with mtime 1640538220.3346488
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/fields/json.py first seen with mtime 1640538220.3066494
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/utils/datastructures.py first seen with mtime 1640538220.330649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/_compat_pickle.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/forms/models.py first seen with mtime 1640538220.3106492
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/templatetags/cache.py first seen with mtime 1640538220.326649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1640538220.2826498
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/mail/message.py first seen with mtime 1640538220.2906497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/management/__init__.py first seen with mtime 1640538220.2906497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/management/base.py first seen with mtime 1640538220.2906497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/email/mime/__init__.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/contrib/auth/admin.py first seen with mtime 1640538220.0266547
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/_distutils_hack/__init__.py first seen with mtime 1640605501.96375
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/genericpath.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/whitenoise/responders.py first seen with mtime 1640605940.9460554
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/files/uploadedfile.py first seen with mtime 1640538220.2866497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/backends/sqlite3/base.py first seen with mtime 1640538220.2986495
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/reverse.py first seen with mtime 1640548651.070768
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/dis.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/asyncio/streams.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.8/posixpath.py first seen with mtime 1637957648.0
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/core/management/commands/runserver.py first seen with mtime 1640538220.2906497
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1640538219.7626598
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/test/utils.py first seen with mtime 1640538220.326649
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/rest_framework/schemas/openapi.py first seen with mtime 1640548651.0907679
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/functions/datetime.py first seen with mtime 1640538220.3106492
[27/Dec/2021 12:20:15] DEBUG [django.utils.autoreload:385] File /home/david/.local/share/virtualenvs/domainAuth-OAY1hdlG/lib/python3.8/site-packages/django/db/models/constraints.py first seen with mtime 1640538220.3066494
